State,County,Index,Density,Population,Female Share,Caucasian Share,Less Than High School,Below Poverty Percent,UnEmployement,Pop Per SqMile,Homocides,Firearms Homocides,Strictness
Alabama,Autauga County|Alabama,14,0.579978,55136,51.5,21.900000000000006,14.400000000000006,12.1,7.0999999999999996,91.8,0,0,Loose
Alabama,Baldwin County|Alabama,14,0.577209,195443,51.2,12.700000000000003,10.900000000000006,13.9,7.5,114.6,3,2,Loose
Alabama,Barbour County|Alabama,14,0.322104,26978,46.5,49.799999999999997,26.299999999999997,26.7,12.300000000000001,31,1,1,Loose
Alabama,Bibb County|Alabama,14,0.316474,22504,46,23.700000000000003,22.5,18.1,8.4000000000000004,36.8,0,0,Loose
Alabama,Blount County|Alabama,14,0.100485,57720,50.6,4,23,15.8,6.7999999999999998,88.9,0,0,Loose
Alabama,Bullock County|Alabama,14,0.486256,10605,45.2,72.799999999999997,32.200000000000003,21.6,14.699999999999999,17.5,0,0,Loose
Alabama,Butler County|Alabama,14,0.287678,20289,53.4,45.700000000000003,23.700000000000003,28.4,11.6,27,1,0,Loose
Alabama,Calhoun County|Alabama,14,0.663032,116547,51.7,24,21.400000000000006,21.9,8.3000000000000007,195.7,5,4,Loose
Alabama,Chambers County|Alabama,14,0.50852,34175,52,41.200000000000003,24.900000000000006,24.1,10.1,57.4,0,0,Loose
Alabama,Cherokee County|Alabama,14,0.142637,26115,50.4,6.7999999999999972,21.700000000000003,21.2,7.7999999999999998,46.9,1,1,Loose
Alabama,Chilton County|Alabama,14,0.132553,43836,50.8,12.5,24,19.5,7.2000000000000002,63,0,0,Loose
Alabama,Choctaw County|Alabama,14,0,13397,52.5,43.799999999999997,24.799999999999997,21.5,9.8000000000000007,15.2,0,0,Loose
Alabama,Clarke County|Alabama,14,0.240197,25166,52.7,45.899999999999999,21.700000000000003,29.3,13.1,20.9,5,3,Loose
Alabama,Cleburne County|Alabama,14,0,15017,50.4,5.2999999999999972,24,18.4,7.5999999999999996,26.7,0,0,Loose
Alabama,Coffee County|Alabama,14,0.528049,50861,50.3,23.299999999999997,17.599999999999994,18.6,6.9000000000000004,73.6,5,2,Loose
Alabama,Colbert County|Alabama,14,0.561053,54499,51.9,19.200000000000003,16.5,17.9,8.1999999999999993,91.8,1,1,Loose
Alabama,Conecuh County|Alabama,14,0.190505,12898,51.7,47.899999999999999,22.700000000000003,32.7,12.699999999999999,15.6,0,0,Loose
Alabama,Coosa County|Alabama,14,0,11065,50.2,33.5,25,20.9,8.8000000000000007,17.7,0,0,Loose
Alabama,Covington County|Alabama,14,0.303482,37850,51.6,15.400000000000006,21.599999999999994,20,8.0999999999999996,36.6,1,1,Loose
Alabama,Crenshaw County|Alabama,14,0,13960,51.5,28.099999999999994,23.299999999999997,19.1,7.7999999999999998,22.8,0,0,Loose
Alabama,Cullman County|Alabama,14,0.267604,80783,50.4,3.7999999999999972,20.200000000000003,18.8,7,109.4,2,2,Loose
Alabama,Dale County|Alabama,14,0.491115,49845,50.5,24.700000000000003,15.900000000000006,17.4,8.0999999999999996,89.6,1,0,Loose
Alabama,Dallas County|Alabama,14,0.54361,42102,53.5,71,22.5,35.5,14.9,44.8,4,2,Loose
Alabama,DeKalb County|Alabama,14,0.098694,70894,50.7,7.5999999999999943,29.400000000000006,19.9,9.3000000000000007,91.5,2,2,Loose
Alabama,Elmore County|Alabama,14,0.458116,80808,51.4,23.799999999999997,13.400000000000006,13.4,7.5,128.2,1,1,Loose
Alabama,Escambia County|Alabama,14,0.364884,37893,48.5,37.600000000000001,23.799999999999997,25.4,9.6999999999999993,40.5,1,1,Loose
Alabama,Etowah County|Alabama,14,0.625165,103962,51.5,18.700000000000003,18.200000000000003,19,7.9000000000000004,195.2,7,4,Loose
Alabama,Fayette County|Alabama,14,0.197668,16909,50.4,13.599999999999994,25.099999999999994,19.9,8.5999999999999996,27.5,0,0,Loose
Alabama,Franklin County|Alabama,14,0.296335,31542,50.1,7.7000000000000028,27.5,21.9,8.9000000000000004,50,1,1,Loose
Alabama,Geneva County|Alabama,14,0.103583,26742,51,12.799999999999997,22.799999999999997,21.2,7.5999999999999996,46.6,2,1,Loose
Alabama,Greene County|Alabama,14,0,8718,52.3,81.299999999999997,23.799999999999997,32.9,12.5,14,0,0,Loose
Alabama,Hale County|Alabama,14,0.108312,15311,52.5,59,22.599999999999994,26.6,10.9,24.5,0,0,Loose
Alabama,Henry County|Alabama,14,0.122471,17224,51.8,29.900000000000006,19.900000000000006,14.4,8.0999999999999996,30.8,2,1,Loose
Alabama,Houston County|Alabama,14,0.661959,103626,52,29.599999999999994,16.099999999999994,18,7.7000000000000002,175.1,1,1,Loose
Alabama,Jackson County|Alabama,14,0.229827,52944,50.7,8.2000000000000028,25.400000000000006,16,7.7000000000000002,49.4,0,0,Loose
Alabama,Jefferson County|Alabama,14,0.901662,659197,52.7,45.799999999999997,12.599999999999994,18,7.4000000000000004,592.5,26,17,Loose
Alabama,Lamar County|Alabama,14,0,14203,51.2,13,23.900000000000006,22.3,8.1999999999999993,24.1,0,0,Loose
Alabama,Lauderdale County|Alabama,14,0.507049,92774,52.1,13,16.200000000000003,17.2,7.2999999999999998,138.8,4,4,Loose
Alabama,Lawrence County|Alabama,14,0.087102,33571,51.4,21.900000000000006,22.900000000000006,17.5,8.9000000000000004,49.7,1,1,Loose
Alabama,Lee County|Alabama,14,0.725905,151708,50.5,28.599999999999994,13.299999999999997,22,6.7999999999999998,230.8,7,6,Loose
Alabama,Limestone County|Alabama,14,0.423909,88924,49.6,17.599999999999994,18.5,14.7,6.7999999999999998,147.8,2,2,Loose
Alabama,Lowndes County|Alabama,14,0,10730,52.4,74.400000000000006,26.099999999999994,26.7,15.4,15.8,0,0,Loose
Alabama,Macon County|Alabama,14,0.444527,19822,53.9,83.299999999999997,20,27.3,10.4,35.2,3,1,Loose
Alabama,Madison County|Alabama,14,0.835585,347073,51.1,30.400000000000006,10,12.8,6.7999999999999998,417.7,20,13,Loose
Alabama,Marengo County|Alabama,14,0.306844,20228,52.9,52.600000000000001,16.299999999999997,24,10.199999999999999,21.5,0,0,Loose
Alabama,Marion County|Alabama,14,0.11145,30305,50.4,6,25.400000000000006,20.9,9.8000000000000007,41.5,1,1,Loose
Alabama,Marshall County|Alabama,14,0.467313,94569,50.9,6,23.799999999999997,19.5,7.7000000000000002,164.4,2,1,Loose
Alabama,Mobile County|Alabama,14,0.799798,414560,52.1,39.700000000000003,16.099999999999994,19.8,9.1999999999999993,335.9,17,12,Loose
Alabama,Monroe County|Alabama,14,0.209554,22188,52.3,44.600000000000001,23.900000000000006,28.6,13.300000000000001,22.5,1,1,Loose
Alabama,Montgomery County|Alabama,14,0.895088,227271,52.5,60.5,14.400000000000006,21.2,8.3000000000000007,292.5,25,12,Loose
Alabama,Morgan County|Alabama,14,0.614026,119628,50.8,16.200000000000003,18.599999999999994,15.7,7.7000000000000002,206.3,4,3,Loose
Alabama,Perry County|Alabama,14,0,9978,53.2,68.799999999999997,29.799999999999997,25.6,14.199999999999999,14.7,0,0,Loose
Alabama,Pickens County|Alabama,14,0,19383,52,42.700000000000003,20.299999999999997,27.2,9.8000000000000007,22.4,0,0,Loose
Alabama,Pike County|Alabama,14,0.483206,33682,51.9,41.200000000000003,19,27.6,7.7000000000000002,48.9,1,1,Loose
Alabama,Randolph County|Alabama,14,0.186575,22663,51.5,22.299999999999997,27.400000000000006,24.5,9.5999999999999996,39.5,1,1,Loose
Alabama,Russell County|Alabama,14,0.64591,59430,51,46.200000000000003,19.599999999999994,22,9.9000000000000004,82.6,4,4,Loose
Alabama,St. Clair County|Alabama,14,0.272032,86244,50.1,11.900000000000006,18,15.2,7,132.3,1,0,Loose
Alabama,Shelby County|Alabama,14,0.770551,204196,51.2,15.599999999999994,8.7999999999999972,7.9,5.5,248.5,2,1,Loose
Alabama,Sumter County|Alabama,14,0,13345,54.7,74.5,24.5,38,12.6,15.2,1,1,Loose
Alabama,Talladega County|Alabama,14,0.441847,81339,51.3,34.5,21.099999999999994,22.9,8.8000000000000007,111.7,2,1,Loose
Alabama,Tallapoosa County|Alabama,14,0.257737,41221,51.5,29.099999999999994,20.799999999999997,19.8,9.3000000000000007,58.1,2,2,Loose
Alabama,Tuscaloosa County|Alabama,14,0.744919,200744,51.6,33.5,13.400000000000006,18.9,7.2999999999999998,147.3,11,7,Loose
Alabama,Walker County|Alabama,14,0.25912,65859,51.4,8.4000000000000057,23.599999999999994,20.9,8.3000000000000007,84.7,0,0,Loose
Alabama,Washington County|Alabama,14,0,16842,51.2,33.700000000000003,19.5,18.4,12.5,16.3,0,0,Loose
Alabama,Wilcox County|Alabama,14,0,11262,52.3,72.099999999999994,23.900000000000006,39.2,17.899999999999999,13.1,0,0,Loose
Alabama,Winston County|Alabama,14,0.151078,24187,51,3.5,27.299999999999997,24,10.6,39.9,0,0,Loose
